,state,zip,returnsCount,returnsSingleCount,returnsJointCount,returnsHOHCount,totalIncome,standardDeductionReturnsCount,childDeductionCount
7327,IN,47834,150.0,5450.0,6440.0,16890.0,1220.0,7923.0,153.0
7328,IN,47837,0.0,320.0,410.0,1040.0,50.0,0.0,8.0
7329,IN,47838,20.0,520.0,580.0,1860.0,120.0,0.0,11.0
7330,IN,47840,0.0,480.0,450.0,1400.0,130.0,916.0,12.0
7331,IN,47841,30.0,610.0,630.0,1930.0,140.0,678.0,17.0
7332,IN,47842,100.0,2470.0,3230.0,8280.0,590.0,2569.0,70.0
7333,IN,47846,0.0,220.0,220.0,640.0,60.0,0.0,4.0
7334,IN,47847,0.0,310.0,310.0,1020.0,60.0,0.0,6.0
7335,IN,47848,0.0,440.0,500.0,1380.0,90.0,0.0,12.0
7336,IN,47849,0.0,130.0,140.0,430.0,20.0,0.0,4.0
7337,IN,47850,0.0,680.0,820.0,2160.0,140.0,0.0,20.0
7338,IN,47854,0.0,230.0,260.0,740.0,60.0,0.0,3.0
7339,IN,47858,0.0,180.0,220.0,580.0,30.0,0.0,0.0
7340,IN,47859,0.0,300.0,230.0,1060.0,50.0,0.0,7.0
7341,IN,47861,0.0,160.0,200.0,530.0,30.0,0.0,5.0
7342,IN,47862,0.0,430.0,470.0,1400.0,90.0,0.0,14.0
7343,IN,47866,0.0,140.0,150.0,380.0,20.0,0.0,0.0
7344,IN,47868,20.0,630.0,890.0,2260.0,110.0,837.0,19.0
7345,IN,47872,70.0,2020.0,2010.0,6280.0,550.0,3279.0,38.0
7346,IN,47874,40.0,950.0,1100.0,3000.0,210.0,1050.0,27.0
7347,IN,47879,0.0,790.0,1010.0,2600.0,150.0,0.0,20.0
7348,IN,47882,70.0,2290.0,2710.0,7330.0,570.0,3172.0,53.0
7349,IN,47885,60.0,2600.0,3030.0,7960.0,480.0,3415.0,66.0
7350,IN,47901,40.0,520.0,1390.0,2540.0,220.0,2091.0,24.0
7351,IN,47904,180.0,2880.0,5950.0,13080.0,570.0,4239.0,147.0
7352,IN,47905,520.0,9090.0,14590.0,38020.0,3550.0,44067.0,297.0
7353,IN,47906,580.0,8260.0,14590.0,40280.0,5670.0,70531.0,213.0
7354,IN,47909,490.0,8720.0,15540.0,39900.0,2770.0,27246.0,323.0
7355,IN,47917,0.0,100.0,100.0,360.0,0.0,0.0,0.0
7356,IN,47918,70.0,1540.0,1900.0,5240.0,330.0,1990.0,50.0
7357,IN,47920,30.0,580.0,840.0,2660.0,260.0,3576.0,15.0
7358,IN,47921,0.0,290.0,300.0,960.0,50.0,0.0,9.0
